Type	Date	Sector	Location	Job talk?	company_id
0	2022-09-15	BCD	E	False	0
0	2022-09-20	BD	M	False	1
0	2022-09-26	BD	M	False	1
0	2022-10-07	BD	M	False	2
0	2022-10-12	BD	Z	False	1
0	2022-10-13	BCD	E	False	0
0	2022-10-15	BD	M	False	3
0	2022-10-17	BD	M	False	4
0	2022-10-19	BD	Z	False	5
0	2022-10-24	BD	Z	False	3
0	2022-10-26	BD	E	False	6
0	2022-11-01	BCD	M	False	7
0	2022-11-01	BD	M	False	8
0	2022-11-03	BD	E	False	5
0	2022-11-03	BCD	Z	False	9
0	2022-11-03	BD	M	False	8
0	2022-11-04	BCD	M	False	10
0	2022-11-08	BD	Z	False	8
0	2022-11-10	D	M	False	11
0	2022-11-18	BD	Z	False	8
0	2022-11-23	BC	Z	False	12
0	2022-11-25	BD	M	False	13
0	2022-11-28	BD	Z	False	14
0	2022-12-01	BD	M	False	5
0	2022-12-05	CD	Z	False	11
0	2022-12-12	BD	Z	False	15
0	2023-01-05	BD	M	False	3
0	2023-01-05	BD	Z	False	3
0	2023-01-06	BD	E	False	8
0	2023-01-13	BD	Z	False	3
0	2023-01-17	D	M	False	11
1	2023-01-18	BD	Z	False	16
0	2023-01-19	BD	M	False	8
0	2023-01-24	CD	Z	False	17
2	2023-01-31	BD	Z	False	16
0	2023-02-02	BD	Z	False	18
3	2023-02-07	BD	Z	False	16
0	2023-02-10	BD	Z	False	19
0	2023-02-13	BCD	Z	False	20
0	2023-02-13	CD	E	False	21
0	2023-02-14	BCD	Z	False	20
0	2023-02-14	BCD	M	False	21
0	2023-02-15	BCD	E	False	22
0	2023-02-16	CD	E	False	23
0	2023-02-17	CD	M	False	24
0	2023-02-17	BD	M	False	25
0	2023-02-23	CD	Z	False	23
0	2023-03-01	BC	Z	False	26
0	2023-03-09	BCD	Z	False	27
0	2023-03-09	BCD	Z	False	28
0	2023-03-13	C	Z	False	29
0	2023-03-13	BC	Z	False	30
0	2023-03-20	BD	Z	False	31
0	2023-04-01	CD	Z	False	32
1	2023-04-04	CD	Z	False	33
0	2023-04-13	BCD	E	False	34
0	2023-04-13	BD	M	False	35
0	2023-04-14	BD	M	False	36
0	2023-04-19	CD	Z	False	37
0	2023-04-21	BD	M	False	36
0	2023-04-27	BCD	E	False	34
0	2023-04-28	BCD	Z	False	38
0	2023-05-05	BCD	E	False	34
0	2023-05-08	BC	Z	False	39
1	2023-06-19	BC	Z	False	26
0	2023-06-25	CD	Z	False	40
0	2023-06-26	BC	E	False	41
0	2023-06-27	BD	E	False	42
0	2023-06-27	B	Z	False	43
0	2023-07-07	C	M	False	44
0	2023-07-13	CD	Z	False	45
0	2023-07-13	BD	Z	False	43
0	2023-07-14	BD	M	False	46
1	2023-07-17	CD	Z	False	45
0	2023-07-19	BCD	Z	False	0
2	2023-07-27	CD	Z	False	45
3	2023-08-04	CD	M	False	45
0	2023-08-07	BCD	Z	False	20
1	2023-08-15	BD	Z	False	46
0	2023-08-15	CD	Z	False	32
0	2023-08-16	BCD	Z	False	20
0	2023-08-16	CD	Z	False	47
0	2023-08-24	BD	Z	False	48
1	2023-08-25	BD	Z	False	49
0	2023-08-27	BCD	E	False	50
0	2023-08-29	D	E	False	51
0	2023-08-30	BD	Z	False	3
1	2023-08-31	BCD	Z	False	52
1	2023-08-31	CD	Z	False	53
2	2023-09-05	BD	Z	False	49
1	2023-09-05	BD	Z	False	54
1	2023-09-13	BCD	Z	False	34
2	2023-09-14	BCD	Z	False	34
0	2023-09-18	CD	M	False	46
3	2023-09-20	BCD	Z	False	34
0	2023-09-20	CD	M	False	46
3	2023-10-03	BD	M	True	49
1	2023-10-03	BCD	Z	False	0
2	2023-10-06	BD	Z	False	54
1	2023-10-05	BCD	Z	False	55
4	2023-10-11	BCD	Z	True	34
0	2023-09-26	C	E	False	40
2	2023-10-18	BCD	Z	True	0
0	2023-11-08	BC	Z	False	56
0	2023-11-13	BCD	Z	False	34
0	2023-11-15	BCD	M	False	0
0	2023-11-15	BCD	Z	False	34
