Type	Date	Sector	Seattle?	Human contact	Interview stage	Offer?
-1	2023-01-16	BD	0	No	0	No
-1	2023-01-18	BD	1	No	0	No
-1	2023-01-20	BD	0	No	0	No
-1	2023-01-26	D	1	No	0	No
-1	2023-01-31	CD	0	No	0	No
-1	2023-02-07	BD	1	No	0	No
-1	2023-02-11	CD	1	No	0	No
-1	2023-02-21	D	1	No	0	No
-1	2023-02-22	BD	0	No	0	No
-1	2023-02-22	BD	0	No	0	No
-1	2023-03-08	BD	1	Yes	0	No
-1	2023-03-23	D	1	No	0	No
-1	2023-04-03	CD	1	Yes	0	No
-1	2023-04-04	CD	1	Yes	1	No
-1	2023-04-11	BD	0	No	0	No
-1	2023-04-11	BD	1	No	0	No
-1	2023-04-12	BCD	0	No	0	No
-1	2023-04-12	D	1	No	0	No
-1	2023-04-14	CD	1	No	0	No
-1	2023-04-14	CD	1	No	0	No
-1	2023-04-17	BCD	0	No	0	No
-1	2023-05-03	BD	0	No	0	No
-1	2023-05-04	BD	1	No	0	No
-1	2023-05-05	BCD	0	No	0	No
-1	2023-06-05	CD	1	No	0	No
-1	2023-06-06	CD	1	No	0	No
-1	2023-06-12	CD	1	No	0	No
-1	2023-06-15	BC	0	Yes	1	No
-1	2023-06-16	CD	1	No	0	No
-1	2023-06-16	CD	1	No	0	No
-1	2023-06-16	CD	1	No	0	No
-1	2023-06-26	BD	1	No	0	No
-1	2023-06-27	BD	1	No	0	No
-1	2023-06-28	BD	0	No	0	No
-1	2023-06-29	D	1	No	0	No
-1	2023-06-30	BD	1	No	0	No
-1	2023-06-30	D	1	Yes	0	Unknown
-1	2023-07-04	BD	0	No	0	No
-1	2023-07-13	D	1	No	0	No
-1	2023-07-14	CD	1	Yes	3	No
-1	2023-07-18	C	0	No	0	No
-1	2023-07-20	BD	1	No	0	No
-1	2023-07-21	CD	0	No	0	No
-1	2023-07-22	CD	1	No	0	No
-1	2023-07-22	CD	1	No	0	No
-1	2023-07-22	BCD	0	No	0	No
-1	2023-07-22	BCD	0	No	0	No
-1	2023-08-10	CD	1	No	0	No
-1	2023-08-10	CD	0	No	0	No
-1	2023-08-10	BD	0	No	0	No
-1	2023-08-10	D	1	No	0	No
-1	2023-08-11	BCD	0	Yes	0	No
-1	2023-08-14	BD	1	Yes	1	No
-1	2023-08-15	BD	0	Yes	3	No
-1	2023-08-16	CD	0	No	0	No
-1	2023-08-21	CD	1	Yes	0	No
-1	2023-08-25	CD	0	No	0	No
-1	2023-08-25	CD	0	No	0	No
-1	2023-08-25	CD	1	Yes	1	No
-1	2023-08-27	CD	0	No	0	No
-1	2023-08-27	BCD	0	Yes	0	No
-1	2023-08-27	BCD	0	Yes	1	No
-1	2023-08-29	CD	1	No	0	No
-1	2023-08-29	BD	0	Yes	1	No
-1	2023-08-30	BD	0	No	0	No
-1	2023-08-30	BCD	0	No	0	No
-1	2023-09-05	BCD	0	Yes	4	Yes
-1	2023-09-11	CD	1	No	0	No
-1	2023-09-11	BD	1	No	0	No
-1	2023-09-13	CD	0	No	0	No
-1	2023-09-21	CD	1	Yes	0	No
-1	2023-09-21	BD	0	No	0	No
-1	2023-09-25	BCD	1	No	0	Unknown
-1	2023-09-25	D	1	No	0	Unknown
-1	2023-09-30	BD	0	Yes	0	No
-1	2023-10-05	BCD	0	Yes	2	Yes
-1	2023-10-23	CD	1	No	0	No
-1	2023-10-31	BCD	0	Yes	1	Unknown
-1	2023-10-31	BCD	0	Yes	1	Unknown
-1	2023-11-03	BCD	1	No	0	No
