site	reactor	run_id	sample_id	timestamp	rel_abund	organism	species_group
Takodana	R2D2	1	100	4-May-25	2	sarlacc	wiggly
Takodana	R2D2	1	100	4-May-25	18	mynok	flapper
Takodana	R2D2	1	100	4-May-25	40	aiwha	flapper
Takodana	R2D2	1	100	4-May-25	30	porg	flapper
Takodana	R2D2	1	100	4-May-25	10	ewok	pawsly
Takodana	R2D2	1	101	5-May-25	5	sarlacc	wiggly
Takodana	R2D2	1	101	5-May-25	20	mynok	flapper
Takodana	R2D2	1	101	5-May-25	38	aiwha	flapper
Takodana	R2D2	1	101	5-May-25	32	porg	flapper
Takodana	R2D2	1	101	5-May-25	5	ewok	pawsly
Takodana	R2D2	1	102	6-May-25	25	mynok	flapper
Takodana	R2D2	1	102	6-May-25	32	aiwha	flapper
Takodana	R2D2	1	102	6-May-25	33	porg	flapper
Takodana	R2D2	1	102	6-May-25	3	ewok	pawsly
Takodana	R2D2	1	102	6-May-25	7	bantha	hoofed
Takodana	R2D2	1	103	7-May-25	21	mynok	flapper
Takodana	R2D2	1	103	7-May-25	25	aiwha	flapper
Takodana	R2D2	1	103	7-May-25	38	porg	flapper
Takodana	R2D2	1	103	7-May-25	2	ewok	pawsly
Takodana	R2D2	1	103	7-May-25	14	bantha	hoofed
Takodana	R2D2	1	104	8-May-25	14	mynok	flapper
Takodana	R2D2	1	104	8-May-25	22	aiwha	flapper
Takodana	R2D2	1	104	8-May-25	44	porg	flapper
Takodana	R2D2	1	104	8-May-25	4	ewok	pawsly
Takodana	R2D2	1	104	8-May-25	11	bantha	hoofed
Takodana	R2D2	1	104	8-May-25	5	tauntaun	clawful
Takodana	R2D2	1	105	9-May-25	14	mynok	flapper
Takodana	R2D2	1	105	9-May-25	21	aiwha	flapper
Takodana	R2D2	1	105	9-May-25	40	porg	flapper
Takodana	R2D2	1	105	9-May-25	2	ewok	pawsly
Takodana	R2D2	1	105	9-May-25	8	bantha	hoofed
Takodana	R2D2	1	105	9-May-25	15	tauntaun	clawful
Takodana	R2D2	2	200	14-May-25	10	sarlacc	wiggly
Takodana	R2D2	2	200	14-May-25	10	mynok	flapper
Takodana	R2D2	2	200	14-May-25	12	aiwha	flapper
Takodana	R2D2	2	200	14-May-25	33	porg	flapper
Takodana	R2D2	2	200	14-May-25	21	ewok	pawsly
Takodana	R2D2	2	200	14-May-25	6	tauntaun	clawful
Takodana	R2D2	2	200	14-May-25	8	fathier	hoofed
Takodana	R2D2	2	201	16-May-25	7	sarlacc	wiggly
Takodana	R2D2	2	201	16-May-25	16	mynok	flapper
Takodana	R2D2	2	201	16-May-25	21	aiwha	flapper
Takodana	R2D2	2	201	16-May-25	28	porg	flapper
Takodana	R2D2	2	201	16-May-25	15	ewok	pawsly
Takodana	R2D2	2	201	16-May-25	2	tauntaun	clawful
Takodana	R2D2	2	201	16-May-25	11	fathier	hoofed
Takodana	R2D2	2	202	17-May-25	15	sarlacc	wiggly
Takodana	R2D2	2	202	17-May-25	13	mynok	flapper
Takodana	R2D2	2	202	17-May-25	19	aiwha	flapper
Takodana	R2D2	2	202	17-May-25	25	porg	flapper
Takodana	R2D2	2	202	17-May-25	11	ewok	pawsly
Takodana	R2D2	2	202	17-May-25	4	tauntaun	clawful
Takodana	R2D2	2	202	17-May-25	8	fathier	hoofed
Takodana	R2D2	2	202	17-May-25	5	bantha	hoofed
Takodana	R2D2	2	203	18-May-25	9	sarlacc	wiggly
Takodana	R2D2	2	203	18-May-25	7	mynok	flapper
Takodana	R2D2	2	203	18-May-25	24	aiwha	flapper
Takodana	R2D2	2	203	18-May-25	19	porg	flapper
Takodana	R2D2	2	203	18-May-25	4	ewok	pawsly
Takodana	R2D2	2	203	18-May-25	15	tauntaun	clawful
Takodana	R2D2	2	203	18-May-25	14	fathier	hoofed
Takodana	R2D2	2	203	18-May-25	8	bantha	hoofed
Takodana	R2D2	2	204	19-May-25	2	sarlacc	wiggly
Takodana	R2D2	2	204	19-May-25	3	mynok	flapper
Takodana	R2D2	2	204	19-May-25	36	aiwha	flapper
Takodana	R2D2	2	204	19-May-25	15	porg	flapper
Takodana	R2D2	2	204	19-May-25	19	tauntaun	clawful
Takodana	R2D2	2	204	19-May-25	20	fathier	hoofed
Takodana	R2D2	2	204	19-May-25	5	bantha	hoofed
Takodana	R2D2	2	205	21-May-25	1	mynok	flapper
Takodana	R2D2	2	205	21-May-25	43	aiwha	flapper
Takodana	R2D2	2	205	21-May-25	11	porg	flapper
Takodana	R2D2	2	205	21-May-25	22	tauntaun	clawful
Takodana	R2D2	2	205	21-May-25	21	fathier	hoofed
Takodana	R2D2	2	205	21-May-25	2	bantha	hoofed
Takodana	R2D2	2	206	22-May-25	52	aiwha	flapper
Takodana	R2D2	2	206	22-May-25	18	porg	flapper
Takodana	R2D2	2	206	22-May-25	16	tauntaun	clawful
Takodana	R2D2	2	206	22-May-25	14	fathier	hoofed
Takodana	R3D3	3	300	7-May-25	4	mynok	flapper
Takodana	R3D3	3	300	7-May-25	20	aiwha	flapper
Takodana	R3D3	3	300	7-May-25	25	porg	flapper
Takodana	R3D3	3	300	7-May-25	13	ewok	pawsly
Takodana	R3D3	3	300	7-May-25	9	bantha	hoofed
Takodana	R3D3	3	300	7-May-25	19	tauntaun	clawful
Takodana	R3D3	3	300	7-May-25	10	fathier	hoofed
Takodana	R3D3	3	301	8-May-25	9	mynok	flapper
Takodana	R3D3	3	301	8-May-25	34	aiwha	flapper
Takodana	R3D3	3	301	8-May-25	21	porg	flapper
Takodana	R3D3	3	301	8-May-25	3	ewok	pawsly
Takodana	R3D3	3	301	8-May-25	7	bantha	hoofed
Takodana	R3D3	3	301	8-May-25	21	tauntaun	clawful
Takodana	R3D3	3	301	8-May-25	5	fathier	hoofed
Takodana	R3D3	3	302	9-May-25	3	mynok	flapper
Takodana	R3D3	3	302	9-May-25	31	aiwha	flapper
Takodana	R3D3	3	302	9-May-25	28	porg	flapper
Takodana	R3D3	3	302	9-May-25	10	bantha	hoofed
Takodana	R3D3	3	302	9-May-25	17	tauntaun	clawful
Takodana	R3D3	3	302	9-May-25	11	fathier	hoofed
Takodana	R3D3	3	303	10-May-25	1	mynok	flapper
Takodana	R3D3	3	303	10-May-25	24	aiwha	flapper
Takodana	R3D3	3	303	10-May-25	31	porg	flapper
Takodana	R3D3	3	303	10-May-25	14	bantha	hoofed
Takodana	R3D3	3	303	10-May-25	12	tauntaun	clawful
Takodana	R3D3	3	303	10-May-25	18	fathier	hoofed
Takodana	R3D3	3	304	11-May-25	3	mynok	flapper
Takodana	R3D3	3	304	11-May-25	21	aiwha	flapper
Takodana	R3D3	3	304	11-May-25	33	porg	flapper
Takodana	R3D3	3	304	11-May-25	17	bantha	hoofed
Takodana	R3D3	3	304	11-May-25	4	tauntaun	clawful
Takodana	R3D3	3	304	11-May-25	19	fathier	hoofed
Takodana	R3D3	3	304	11-May-25	3	wompa	clawful
Takodana	R3D3	3	305	12-May-25	4	mynok	flapper
Takodana	R3D3	3	305	12-May-25	16	aiwha	flapper
Takodana	R3D3	3	305	12-May-25	37	porg	flapper
Takodana	R3D3	3	305	12-May-25	12	bantha	hoofed
Takodana	R3D3	3	305	12-May-25	2	tauntaun	clawful
Takodana	R3D3	3	305	12-May-25	22	fathier	hoofed
Takodana	R3D3	3	305	12-May-25	7	wompa	clawful
Takodana	R3D3	4	400	17-May-25	7	mynok	flapper
Takodana	R3D3	4	400	17-May-25	8	aiwha	flapper
Takodana	R3D3	4	400	17-May-25	42	porg	flapper
Takodana	R3D3	4	400	17-May-25	6	bantha	hoofed
Takodana	R3D3	4	400	17-May-25	4	tauntaun	clawful
Takodana	R3D3	4	400	17-May-25	28	fathier	hoofed
Takodana	R3D3	4	400	17-May-25	5	wompa	clawful
Takodana	R3D3	4	401	18-May-25	3	mynok	flapper
Takodana	R3D3	4	401	18-May-25	5	aiwha	flapper
Takodana	R3D3	4	401	18-May-25	46	porg	flapper
Takodana	R3D3	4	401	18-May-25	2	bantha	hoofed
Takodana	R3D3	4	401	18-May-25	1	tauntaun	clawful
Takodana	R3D3	4	401	18-May-25	32	fathier	hoofed
Takodana	R3D3	4	401	18-May-25	11	wompa	clawful
Takodana	R3D3	4	402	20-May-25	5	aiwha	flapper
Takodana	R3D3	4	402	20-May-25	49	porg	flapper
Takodana	R3D3	4	402	20-May-25	1	bantha	hoofed
Takodana	R3D3	4	402	20-May-25	30	fathier	hoofed
Takodana	R3D3	4	402	20-May-25	15	wompa	clawful
